date,employee_title,location,employee_status,review_title,years_at_company,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
Tue Apr 30 2019 05:11:53 GMT+0530 (India Standard Time), ASE,Bangalore,Current Employee ,ASE,,3,3,4,3,2,3
Tue Apr 30 2019 08:43:50 GMT+0530 (India Standard Time), Business Operations Associate,Hyderābād,Current Employee ,Business Operations Associate,,3,1,5,5,2,2
Sun Apr 14 2019 22:03:04 GMT+0530 (India Standard Time), Software Engineer,Chennai,Current Employee ,Good,,5,5,5,5,5,5
Mon Apr 15 2019 05:37:38 GMT+0530 (India Standard Time), Team Leader,Pune,Former Employee ,Best Organization to Work in India,,5,3,4,4,5,4
Sun Apr 14 2019 10:39:38 GMT+0530 (India Standard Time), Senior Applications Developer,Chennai,Current Employee ,Application Development Senior Analyst,,4,3,4,4,4,3
Mon Apr 15 2019 00:19:08 GMT+0530 (India Standard Time), Software Applications Developer,Pune,Current Employee ,Good to work as Fresher,,4,3,4,4,4,3
Mon Apr 15 2019 08:13:59 GMT+0530 (India Standard Time), Senior Software Engineer,Pune,Former Employee ,Good company,,4,3,3,3,3,1
Mon Apr 29 2019 03:32:36 GMT+0530 (India Standard Time), Linux Systems Administrator,Bangalore,Former Employee ,Linux System Admin,,3,1,3,3,3,3
Fri Apr 12 2019 05:25:23 GMT+0530 (India Standard Time), Senior Analyst,Bangalore,Current Employee ,Accenture is a fantastic workplace,,4,5,5,4,4,4
Sun Apr 14 2019 02:44:19 GMT+0530 (India Standard Time), Associate,Calcutta,Former Employee ,Good company for fresher's,,5,4,4,5,4,4
Sun Apr 14 2019 07:52:46 GMT+0530 (India Standard Time),,Bangalore,Current Employee ,Application Developer,,4,5,3,4,3,4
Sat Apr 27 2019 12:30:23 GMT+0530 (India Standard Time), Senior Software Engineer,Bangalore,Current Employee ,Accenture not for freshers,,3,5,4,3,2,3
Sat Apr 13 2019 00:11:50 GMT+0530 (India Standard Time), Team Lead,Bangalore,Current Employee ,Team Lead,,5,,,,,
Fri Apr 12 2019 10:44:46 GMT+0530 (India Standard Time), Applications Development Senior Specialist,Bangalore,Former Employee ,Awesome,,4,4,4,4,4,3
Fri Apr 12 2019 22:50:53 GMT+0530 (India Standard Time), Senior Manager,"Gurgaon, Haryana",Current Employee ,Good Employee Policies,,4,3,4,1,2,1
Sat Apr 13 2019 00:41:05 GMT+0530 (India Standard Time),,"Gurgaon, Haryana",Current Employee ,Team Lead,,4,4,4,4,4,4
Sat Apr 13 2019 00:50:42 GMT+0530 (India Standard Time),,Pune,Current Employee ,Good Work Life balance,,4,3,4,4,2,3
Sat Apr 13 2019 01:13:29 GMT+0530 (India Standard Time), Associate Software Engineer,Mumbai,Current Employee ,"Good facilities, nice working environment",,4,3,3,3,3,2
Sat Apr 13 2019 07:02:13 GMT+0530 (India Standard Time), Processing Associate,Chennai,Current Employee ,Healthcare,,4,3,4,3,3,3
Sat Apr 13 2019 08:42:01 GMT+0530 (India Standard Time), Senior Analyst,Hyderābād,Current Employee ,Senior Analyst,,4,2,2,3,3,1
